turma;unidade
 3F ;Filipinho
 3F ;Filipinho
 3F ;Filipinho
 3G ;Filipinho
 3G ;Filipinho
 3G ;Filipinho
 3G ;Filipinho
 3G ;Filipinho
 3G ;Filipinho
 3G ;Filipinho
 3G ;Filipinho
 3G ;Filipinho
 3G ;Filipinho
 3G ;Filipinho
 3G ;Filipinho
 3G ;Filipinho
 3G ;Filipinho
 3G ;Filipinho
 3H ;Filipinho
 3H ;Filipinho
 3H ;Filipinho
 3H ;Filipinho
 3H ;Filipinho
 3H ;Filipinho
 3H ;Filipinho
 3H ;Filipinho
 3H ;Filipinho
 3H ;Filipinho
 3H ;Filipinho
 3H ;Filipinho
 3H ;Filipinho
 3H ;Filipinho
 3H ;Filipinho
 3H ;Filipinho
 3I ;Filipinho
 3I ;Filipinho
 3I ;Filipinho
 3I ;Filipinho
 3I ;Filipinho
 3I ;Filipinho
 3I ;Filipinho
 3I ;Filipinho
 3I ;Filipinho
 3I ;Filipinho
 3I ;Filipinho
 3I ;Filipinho
 3K ;Cipó
 3K ;Cipó
 3K ;Cipó
 3K ;Cipó
 3K ;Cipó
 3K ;Cipó
 3K ;Cipó
 3K ;Cipó
 3K ;Cipó
 3K ;Cipó
 3K ;Cipó
 3K ;Cipó
 3K ;Cipó
 3K ;Cipó
 3L ;Cipó
 3L ;Cipó
 3L ;Cipó
 3L ;Cipó
 3L ;Cipó
 3L ;Cipó
 3L ;Cipó
 3L ;Cipó
 3L ;Cipó
 3L ;Cipó
 3L ;Cipó
 3L ;Cipó
 3L ;Cipó
 3L ;Cipó
 3M ;Cipó
 3M ;Cipó
 3M ;Cipó
 3M ;Cipó
 3M ;Cipó
 3M ;Cipó
 3M ;Cipó
 3M ;Cipó
 3M ;Cipó
 3M ;Cipó
 3M ;Cipó
 3M ;Cipó
 3M ;Cipó
 3M ;Cipó
 3M ;Cipó
 3N ;Cipó
 3N ;Cipó
 3N ;Cipó
 3N ;Cipó
 3N ;Cipó
 3N ;Cipó
 3N ;Cipó
 3N ;Cipó
 3N ;Cipó
 3N ;Cipó
 3N ;Cipó
 3N ;Cipó
 3N ;Cipó
 3P ;Granjinha
 3P ;Granjinha
 3P ;Granjinha
 3P ;Granjinha
 3P ;Granjinha
 3P ;Granjinha
 3P ;Granjinha
 3P ;Granjinha
 3P ;Granjinha
 3P ;Granjinha
 3P ;Granjinha
 3P ;Granjinha
 3P ;Granjinha
 3R ;Granjinha
 3R ;Granjinha
 3R ;Granjinha
 3R ;Granjinha
 3R ;Granjinha
 3R ;Granjinha
 3R ;Granjinha
 3R ;Granjinha
 3R ;Granjinha
 3R ;Granjinha
 3R ;Granjinha
 3R ;Granjinha
 3R ;Granjinha
 3U ;Cipó
 3U ;Cipó
 3U ;Cipó
 3U ;Cipó
 3U ;Cipó
 3U ;Cipó
 3U ;Cipó
 3U ;Cipó
 3U ;Cipó
 3U ;Cipó
 3U ;Cipó
 3U ;Cipó
 3U ;Cipó
 3U ;Cipó
 4A ;Centro
 4A ;Centro
 4A ;Centro
 4A ;Centro
 4A ;Centro
 4A ;Centro
 4A ;Centro
 4A ;Centro
 4A ;Centro
 4A ;Centro
 4A ;Centro
 4A ;Centro
 4A ;Centro
 4A ;Centro
 4B ;Centro
 4B ;Centro
 4B ;Centro
 4B ;Centro
 4B ;Centro
 4B ;Centro
 4B ;Centro
 4B ;Centro
 4C ;Centro
 4C ;Centro
 4C ;Centro
 4C ;Centro
 4C ;Centro
 4C ;Centro
 4C ;Centro
 4C ;Centro
 4C ;Centro
 4C ;Centro
 4C ;Centro
 4C ;Centro
 4C ;Centro
 4C ;Centro
 4C ;Centro
 4F ;Filipinho
 4F ;Filipinho
 4F ;Filipinho
 4F ;Filipinho
 4F ;Filipinho
 4F ;Filipinho
 4F ;Filipinho
 4F ;Filipinho
 4F ;Filipinho
 4F ;Filipinho
 4F ;Filipinho
 4G ;Filipinho
 4G ;Filipinho
 4G ;Filipinho
 4G ;Filipinho
 4G ;Filipinho
 4G ;Filipinho
 4G ;Filipinho
 4H ;Filipinho
 4H ;Filipinho
 4H ;Filipinho
 4H ;Filipinho
 4H ;Filipinho
 4H ;Filipinho
 4L ;Cipó
 4L ;Cipó
 4L ;Cipó
 4L ;Cipó
 4L ;Cipó
 4L ;Cipó
 4L ;Cipó
 4L ;Cipó
 4L ;Cipó
 4L ;Cipó
 4L ;Cipó
 4L ;Cipó
 4L ;Cipó
 4L ;Cipó
 4L ;Cipó
 4M ;Cipó
 4M ;Cipó
 4M ;Cipó
 4M ;Cipó
 4M ;Cipó
 4M ;Cipó
 4M ;Cipó
 4M ;Cipó
 4M ;Cipó
 4M ;Cipó
 4M ;Cipó
 4M ;Cipó
 4M ;Cipó
 4M ;Cipó
 4M ;Cipó
 4M ;Cipó
 4M ;Cipó
 4N ;Cipó
 4N ;Cipó
 4N ;Cipó
 4N ;Cipó
 4N ;Cipó
 4N ;Cipó
 4N ;Cipó
 4N ;Cipó
 4N ;Cipó
 4N ;Cipó
 4N ;Cipó
 4N ;Cipó
 4N ;Cipó
 4N ;Cipó
 4N ;Cipó
 4R ;Granjinha
 4R ;Granjinha
 4R ;Granjinha
 4R ;Granjinha
 5A ;Centro
 5A ;Centro
 5A ;Centro
 5A ;Centro
 5A ;Centro
 5A ;Centro
 5A ;Centro
 5A ;Centro
 5A ;Centro
 5A ;Centro
 5A ;Centro
 5A ;Centro
 5A ;Centro
 5A ;Centro
 5A ;Centro
 5A ;Centro
 5B ;Centro
 5B ;Centro
 5B ;Centro
 5B ;Centro
 5B ;Centro
 5B ;Centro
 5B ;Centro
 5B ;Centro
 5B ;Centro
 5B ;Centro
 5B ;Centro
 5B ;Centro
 5C ;Centro
 5C ;Centro
 5C ;Centro
 5C ;Centro
 5C ;Centro
 5C ;Centro
 5C ;Centro
 5C ;Centro
 5C ;Centro
 5C ;Centro
 5C ;Centro
 5C ;Centro
 5D ;Centro
 5D ;Centro
 5D ;Centro
 5D ;Centro
 5D ;Centro
 5D ;Centro
 5D ;Centro
 5D ;Centro
 5D ;Centro
 5F ;Filipinho
 5F ;Filipinho
 5F ;Filipinho
 5F ;Filipinho
 5F ;Filipinho
 5F ;Filipinho
 5F ;Filipinho
 5G ;Filipinho
 5G ;Filipinho
 5G ;Filipinho
 5G ;Filipinho
 5G ;Filipinho
 5L ;Cipó
 5L ;Cipó
 5L ;Cipó
 5L ;Cipó
 5L ;Cipó
 5L ;Cipó
 5L ;Cipó
 5L ;Cipó
 5L ;Cipó
 5L ;Cipó
 5L ;Cipó
 5L ;Cipó
 5M ;Cipó
 5M ;Cipó
 5M ;Cipó
 5M ;Cipó
 5M ;Cipó
 5M ;Cipó
 5M ;Cipó
 5M ;Cipó
 5M ;Cipó
 5M ;Cipó
 5M ;Cipó
 5M ;Cipó
 5N ;Cipó
 5N ;Cipó
 5N ;Cipó
 5N ;Cipó
 5N ;Cipó
 5N ;Cipó
 5N ;Cipó
 5N ;Cipó
 5N ;Cipó
 5N ;Cipó
 5N ;Cipó
 5N ;Cipó
 5N ;Cipó
 5N ;Cipó
 5N ;Cipó
 5N ;Cipó
 5N ;Cipó
 6A ;Centro
 6A ;Centro
 6A ;Centro
 6A ;Centro
 6A ;Centro
 6A ;Centro
 6A ;Centro
 6A ;Centro
 6A ;Centro
 6A ;Centro
 6L ;Cipó
 6L ;Cipó
 6L ;Cipó
 6L ;Cipó
 6L ;Cipó
 6L ;Cipó
 6L ;Cipó
 6L ;Cipó
 6L ;Cipó
 6L ;Cipó
 6L ;Cipó
 6L ;Cipó
 7A ;Centro
 7A ;Centro
 7A ;Centro
 7A ;Centro
 7A ;Centro
 7A ;Centro
 7A ;Centro
 7A ;Centro
 7A ;Centro
 7A ;Centro
 7A ;Centro
 7A ;Centro
 7A ;Centro
 7A ;Centro
 7A ;Centro
 7A ;Centro
 7A ;Centro
 7A ;Centro
